timestamp,open,high,low,close,volume
2023-10-23,19.67,23.15,19.51,22.61,137643.99
2023-10-24,22.6,24.5,22.5,22.92,77977.69
2023-10-25,22.94,28.52,22.76,25.29,112480.73
2023-10-26,25.31,25.82,23.78,24.59,42763.4
2023-10-27,24.59,24.59,23.61,24.03,11739.59
2023-10-28,24.01,24.39,23.19,23.2,13831.81
2023-10-29,23.19,23.75,23.02,23.69,10588.1
2023-10-30,23.71,23.99,23.24,23.6,9842.23
2023-10-31,23.6,23.85,22.95,23.5,14210.36
2023-11-01,23.5,24.24,22.87,23.98,16722.9
2023-11-02,24.0,24.3,22.9,23.4,17993.01
2023-11-03,23.4,23.79,22.65,23.59,22791.91
2023-11-04,23.57,24.3,23.46,24.3,14432.2
2023-11-05,24.26,25.58,24.19,25.21,34022.2
2023-11-06,25.21,25.9,24.74,25.61,25389.43
2023-11-07,25.61,26.3,25.03,26.3,20714.18
2023-11-08,26.29,27.0,25.99,26.73,14897.17
2023-11-09,26.78,33.5,26.71,32.45,224760.43
2023-11-10,32.5,34.8,30.3,31.68,176412.7
2023-11-11,31.68,32.88,30.74,31.0,49204.42
2023-11-12,31.0,32.0,30.12,30.75,27198.46
2023-11-13,30.72,33.62,29.78,29.93,55115.71
2023-11-14,29.89,29.91,27.45,28.55,58236.73
2023-11-15,28.51,29.84,28.15,29.65,26041.11
2023-11-16,29.63,31.89,27.8,27.97,48323.64
2023-11-17,27.95,28.5,26.93,27.66,21697.06
2023-11-18,27.67,27.98,26.43,27.98,16360.86
2023-11-19,27.98,28.33,27.05,28.14,17244.13
2023-11-20,28.13,28.75,27.66,27.76,21280.56
2023-11-21,27.75,28.12,25.64,25.68,28616.06
2023-11-22,25.64,30.8,25.6,28.58,53443.19
2023-11-23,28.56,28.95,27.78,28.23,22851.68
2023-11-24,28.27,29.9,28.13,28.39,25355.05
2023-11-25,28.44,29.09,27.75,28.69,16504.16
2023-11-26,28.63,28.75,27.02,27.51,14077.89
2023-11-27,27.5,27.7,26.25,27.38,18816.9
2023-11-28,27.34,28.23,26.41,27.71,15604.78
2023-11-29,27.71,28.01,27.08,27.25,11482.96
2023-11-30,27.25,27.56,26.85,27.22,11187.52
2023-12-01,27.21,27.58,26.72,27.24,14020.9
2023-12-02,27.22,28.35,26.99,28.14,17443.5
2023-12-03,28.16,30.33,28.04,29.42,77430.58
2023-12-04,29.44,32.63,29.36,31.5,109802.97
2023-12-05,31.5,33.6,30.12,31.02,90679.26
2023-12-06,31.02,31.44,29.01,29.08,51785.54
2023-12-07,29.12,32.44,28.42,30.71,74019.41
2023-12-08,30.68,32.18,30.12,31.27,56193.39
2023-12-09,31.31,32.11,30.2,30.46,44873.65
2023-12-10,30.4,30.92,29.35,30.59,18548.98
2023-12-11,30.57,30.65,27.5,28.0,44196.01
2023-12-12,28.0,29.9,27.38,27.8,42354.95
2023-12-13,27.78,27.96,26.17,27.85,29759.21
2023-12-14,27.87,29.41,27.21,28.12,37535.32
2023-12-15,28.09,28.29,26.8,26.84,16110.35
2023-12-16,26.82,27.87,26.64,27.36,13156.17
2023-12-17,27.4,28.01,26.5,26.82,23630.22
2023-12-18,26.79,27.33,25.3,26.7,29165.91
2023-12-19,26.7,27.07,25.94,26.14,18753.84
2023-12-20,26.14,28.55,26.0,26.77,38580.64
2023-12-21,26.78,27.53,26.64,27.32,22062.72
2023-12-22,27.3,29.49,27.0,28.81,45617.34
2023-12-23,28.81,28.84,27.56,28.1,21843.59
2023-12-24,28.1,28.49,27.16,27.65,24952.57
2023-12-25,27.64,30.42,27.46,29.07,54427.76
2023-12-26,29.08,29.1,27.41,28.76,24292.11
2023-12-27,28.73,32.9,28.2,32.1,101678.84
2023-12-28,32.14,33.44,31.01,31.71,76583.32
2023-12-28,32.14,33.44,31.01,31.71,76583.32
